ParkName,ParkType,ParkServiceArea,PSAManager,email,Number,Zipcode,Acreage,SupDist,ParkID,address,city_state,lat_long,geometry,area,length,po_name,state,zip
LITTLE HOLLYWOOD PARK,Neighborhood Park or Playground,PSA 3,"Watkins, Robert",robert.watkins@sfgov.org,(415) 819-6138,94134.0,1.31,10.0,42.0,Lathrop,"San Francisco, CA","(37.70996909, -122.39820878)",POINT (-122.39820878 37.70996909),67516008.0857,44866.5215478,SAN FRANCISCO,CA,94134
LOUIS SUTTER PLAYGROUND,Neighborhood Park or Playground,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,94134.0,13.92,10.0,137665.0,Wayland,"San Francisco, CA","(37.72245982, -122.41392441)",POINT (-122.41392441 37.72245982),67516008.0857,44866.5215478,SAN FRANCISCO,CA,94134
PALEGA RECREATION CENTER,Neighborhood Park or Playground,PSA 3,"Watkins, Robert",robert.watkins@sfgov.org,(415) 819-6138,94134.0,4.97,9.0,30.0,500 Felton St,"San Francisco, CA","(37.72934205, -122.40978)",POINT (-122.40978 37.72934205),67516008.0857,44866.5215478,SAN FRANCISCO,CA,94134
VISITACION VALLEY GREENWAY,Neighborhood Park or Playground,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,94134.0,2.13,10.0,177.0,Lel,"San Francisco, CA","(37.71476638, -122.40613194)",POINT (-122.40613194 37.71476638),67516008.0857,44866.5215478,SAN FRANCISCO,CA,94134
VISITACION VALLEY PLAYGROUND,Neighborhood Park or Playground,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,94134.0,2.05,10.0,27.0,251 Lel&amp; St,"San Francisco, CA","(37.71240126, -122.40908547)",POINT (-122.40908547 37.71240126),67516008.0857,44866.5215478,SAN FRANCISCO,CA,94134
FATHER ALFRED E. BOEDDEKER PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94102.0,0.97,6.0,134.0,295 Eddy St,"San Francisco, CA","(37.78439513, -122.4120591)",POINT (-122.4120591 37.78439513),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
HAYES VALLEY PLAYGROUND,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94102.0,0.61,5.0,116.0,Hayes,"San Francisco, CA","(37.77606034, -122.42736714)",POINT (-122.42736714 37.77606034),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
JEFFERSON SQUARE,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94102.0,5.64,6.0,122.0,Eddy,"San Francisco, CA","(37.78180034, -122.42565792)",POINT (-122.42565792 37.78180034),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
JOSEPH L. ALIOTO PERFORMING ARTS PIAZZA,Civic Plaza or Square,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94102.0,5.38,6.0,118.0,Grove,"San Francisco, CA","(37.77948045, -122.4175995)",POINT (-122.4175995 37.77948045),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
KOSHLAND PARK,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94102.0,0.82,5.0,115.0,Page,"San Francisco, CA","(37.77324835, -122.42672942)",POINT (-122.42672942 37.77324835),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
MARGARET S HAYWARD PLAYGROUND,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94102.0,5.03,6.0,119.0,1016 Laguna,"San Francisco, CA","(37.78084683, -122.425427)",POINT (-122.425427 37.78084683),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
PAGE ST. COMMUNITY GARDEN,Community Garden,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94102.0,0.08,5.0,11976.0,438 Page St,"San Francisco, CA","(37.77362331, -122.42810149)",POINT (-122.42810149 37.77362331),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
PAGE/LAGUNA MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94102.0,0.15,5.0,114.0,Page,"San Francisco, CA","(37.77346139, -122.42524781)",POINT (-122.42524781 37.77346139),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
PATRICIAS GREEN IN HAYES VALLEY,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,94102.0,0.45,5.0,59481.0,btw Hayes,"San Francisco, CA","(37.77622289, -122.42441307)",POINT (-122.42441307 37.77622289),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
TURK/HYDE MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94102.0,0.11,6.0,192.0,Hyde,"San Francisco, CA","(37.78274031, -122.41596297)",POINT (-122.41596297 37.78274031),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
GENE FRIEND REC CENTER,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94103.0,1.02,6.0,57.0,270 6th St,"San Francisco, CA","(37.77863929, -122.40635191)",POINT (-122.40635191 37.77863929),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
HOWARD/LANGTON MINI PARK,Community Garden,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94103.0,0.23,6.0,58.0,Howard,"San Francisco, CA","(37.77723739, -122.40981275)",POINT (-122.40981275 37.77723739),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
VICTORIA MANALO DRAVES PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94103.0,2.52,6.0,169.0,Folsom,"San Francisco, CA","(37.77700947, -122.40595532)",POINT (-122.40595532 37.77700947),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
GUY PLACE MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94105.0,0.0,6.0,445358.0,4 8 Guy Place,"San Francisco, CA","(37.7750329000483, -122.41916720030605)",POINT (-122.419167200306 37.7750329000483),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
JACKSON PLAYGROUND,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94107.0,4.41,10.0,54.0,17th,"San Francisco, CA","(37.7643148, -122.3996072)",POINT (-122.3996072 37.7643148),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
MCKINLEY SQUARE,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94107.0,2.81,10.0,53.0,20th St,"San Francisco, CA","(37.75913976, -122.40469058)",POINT (-122.40469058 37.75913976),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
POTRERO HILL MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94107.0,0.22,10.0,10416.0,22nd,"San Francisco, CA","(37.75744642, -122.3965207)",POINT (-122.3965207 37.75744642),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
POTRERO HILL RECREATION CENTER,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94107.0,10.07,10.0,52.0,801 Arkansas St,"San Francisco, CA","(37.75613966, -122.39688179)",POINT (-122.39688179 37.75613966),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
SOUTH PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,94107.0,1.12,6.0,56.0,64 Park Ave,"San Francisco, CA","(37.78157949, -122.39395227)",POINT (-122.39395227 37.78157949),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
JULIUS KAHN PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,94118.0,12.38,2.0,166.0,Pacific Ave,"San Francisco, CA","(37.79131306, -122.45397275)",POINT (-122.45397275 37.79131306),66147462.778,36589.1009263,SAN FRANCISCO,CA,94129
JUSTIN HERMAN/EMBARCADERO PLAZA,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94111.0,4.33,3.0,138.0,Clay,"San Francisco, CA","(37.79487978, -122.39476577)",POINT (-122.39476577 37.79487978),9973098.48964,31453.7823665,SAN FRANCISCO,CA,94111
MARITIME PLAZA,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,94111.0,2.01,3.0,142.0,285 Washington St,"San Francisco, CA","(37.79560513, -122.39923889)",POINT (-122.39923889 37.79560513),9973098.48964,31453.7823665,SAN FRANCISCO,CA,94111
SUE BIERMAN PARK,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 601-7277,94111.0,4.41,3.0,143.0,Clay St,"San Francisco, CA","(37.79592597, -122.3965106)",POINT (-122.3965106 37.79592597),9973098.48964,31453.7823665,SAN FRANCISCO,CA,94111
